Created at,Username,Tweets,Retweet CountLikes
2022-03-14 00:40:45+00:00,Eangelo101gmai1,"b""@thisisbmc @_dogsanddonuts @thirdking0208 The reason they're still together was because she chose to forgive him fo\xe2\x80\xa6 https://t.co/zoIAAuLW4s""",0,0
2022-03-14 00:39:30+00:00,Dolphin1Duck,"b'RT @twomad: when i close my eyes, i see a small family guy mp4 play'",63,0
2022-03-14 00:39:27+00:00,mauricewsbear,b'No God in that guy for ruining a family and bragging about it to him like hes the upper man',0,0
2022-03-14 00:39:19+00:00,HirtKasey,"b""@CamLikesCinema 9.) Turn Pixar Pier back to Paradise Pier at Disney's California Adventure \n10.) Change \xe2\x80\x9c20th Centu\xe2\x80\xa6 https://t.co/DKQdCWVIx3""",0,0
2022-03-14 00:39:07+00:00,034Davidhv1,b'RT @Crimson_Mayhem_: The weirdest crossover ever was when Brian and Stewie from Family Guy were promoting The Peanuts Movie and it was kind\xe2\x80\xa6',18,0
2022-03-14 00:38:58+00:00,epsn_cmolinar,b'RT @ElreyMurillo: @epsn_cmolinar He said fuck this family guy BS all I do is win! nobody listens to me in this house!',1,0
2022-03-14 00:38:57+00:00,hfa_bot,b'Family Guy announces season 12 will be available on Vudu',0,0
2022-03-14 00:38:45+00:00,ElreyMurillo,b'@epsn_cmolinar He said fuck this family guy BS all I do is win! nobody listens to me in this house!',1,1
2022-03-14 00:38:18+00:00,SchlademanEric,"b'\xf0\x9f\x98\x8d\xf0\x9f\xa4\x93\xf0\x9f\x98\x8e\xf0\x9f\x98\x87MEIGOONI\xf0\x9f\x98\x87\xf0\x9f\x98\x8e\xf0\x9f\xa4\x93\xf0\x9f\x98\x8d\n\n""MEG(FAMILY GUY)THE GOONIES"" \n\n\xf0\x9f\x98\x8d\xf0\x9f\x91\xbd\xf0\x9f\x98\x871817005 EXOPLANET\xf0\x9f\x98\x87\xf0\x9f\x91\xbd\xf0\x9f\x98\x8d https://t.co/9sgzFndVSn'",0,1
2022-03-14 00:38:06+00:00,timepavementt,b'RT @PunkRevNow: This guy really murdered my family then disappeared. https://t.co/KnEpR2upcH',18,0
2022-03-14 00:38:00+00:00,replies_guy,b'RT @TomBrady: These past two months I\xe2\x80\x99ve realized my place is still on the field and not in the stands. That time will come. But it\xe2\x80\x99s not n\xe2\x80\xa6',108886,0
2022-03-14 00:37:54+00:00,Cbush2002,b'@Azerrz @RealTanBanana @chero666 @mydixapython @NotoriousLGBT @coolestdudeyet I\xe2\x80\x99m surprised they haven\xe2\x80\x99t figured ou\xe2\x80\xa6 https://t.co/rpyMZZmzDx',0,0
2022-03-14 00:37:36+00:00,luckitumypain,"b'RT @twomad: when i close my eyes, i see a small family guy mp4 play'",63,0
2022-03-14 00:37:04+00:00,lolyes95874860,"b""RT @LoveProblemOTD: Today's first request is from anonymous \xf0\x9f\x92\x97\n* Brian Griffin x Stewie Griffin from Family Guy\n* Age gap + Beastiality http\xe2\x80\xa6""",16,0
2022-03-14 00:37:01+00:00,JulieDaubignyy,"b'sometimes a family is just a guy,'",0,0
2022-03-14 00:36:59+00:00,_lake_of_death,b'RT @PunkRevNow: This guy really murdered my family then disappeared. https://t.co/KnEpR2upcH',18,0
2022-03-14 00:36:59+00:00,TimonTomato,b'Even nowadays I still feel my skin crawl thinking about it. I feel even worse thinking of what would have happened\xe2\x80\xa6 https://t.co/Sff9WKHENz',0,0
2022-03-14 00:36:56+00:00,Yessedekeus,b'Y H V H Says Complaining\nIs Evil In His Ears Do\nYou Trust Y H V H Enough\nTo Obey Him64855046841356\nGodess Family An\xe2\x80\xa6 https://t.co/b6JA8bQlZZ',0,0
2022-03-14 00:36:14+00:00,RickiVWashingt1,"b""RT @A_Wasted_Talent: @garyvee @NKD_EYE_PRJKT is a wonderful close-knit community with The Simpsons &amp; Family Guy Artist \xe2\x80\xa2Assassin's Creed 3D\xe2\x80\xa6""",5,0
2022-03-14 00:36:00+00:00,ThomasPussyCat,"b'RT @SnoidusDoingus: Baffles me how anyone can hate Family Guy, no other show got a mom and her infant child fighting to the death with mili\xe2\x80\xa6'",4,0
